rank,game,config,rtp,house_edge,std_per_unit,variance_per_unit,survival_prob
353,plinko,"low, 16 rows",0.9899871826171875,0.0100128173828125,0.3319193191214202,0.11017043440602718,1.0
354,plinko,"medium, 15 rows",0.989984130859375,0.010015869140625,1.5589222005868495,2.4302384274825455,0.9999999783001045
355,plinko,"medium, 13 rows",0.98994140625,0.01005859375,1.3556455293528145,1.8377748012542725,0.9999999998769347
356,plinko,"medium, 14 rows",0.98994140625,0.01005859375,1.3623338475541789,1.8559535121917727,0.9999999998485837
357,plinko,"medium, 12 rows",0.989892578125,0.010107421875,1.2876821731644579,1.6581253790855408,0.9999999999874716
358,plinko,"medium, 16 rows",0.9898834228515625,0.0101165771484375,1.4672407092599933,2.1527952989097683,0.9999999972472908
359,keno,"medium, 3 picks",0.9898785425101214,0.010121457489878543,5.5186744786626445,30.45576800144241,0.8877671541522644
360,keno,"high, 3 picks",0.9898785425101214,0.010121457489878543,8.927219146276904,79.69524168565295,0.6755285689455057
361,keno,"classic, 5 picks",0.9898580260422366,0.010141973957763431,2.006716771109383,4.026912199451668,0.9999863368426892
362,plinko,"low, 9 rows",0.98984375,0.01015625,0.46111953502962494,0.2126312255859375,1.0
363,plinko,"low, 8 rows",0.98984375,0.01015625,0.558015434899374,0.3113812255859375,1.0
364,keno,"classic, 7 picks",0.989815351789036,0.010184648210964,1.7635761095111564,3.1102006940385065,0.999999246781131
365,plinko,"low, 12 rows",0.989794921875,0.010205078125,0.38792612272565846,0.15048667669296262,1.0
366,plinko,"high, 14 rows",0.98978271484375,0.01021728515625,5.577546087926429,31.109020362943408,0.8838821246380121
367,plinko,"high, 16 rows",0.989764404296875,0.010235595703125,6.565305127274835,43.103231414221234,0.8185642441835485
368,keno,"classic, 9 picks",0.989753395713148,0.010246604286851965,1.826752217603022,3.3370236645175586,0.999998208139178
369,keno,"medium, 10 picks",0.9897431463270872,0.010256853672912796,1.4374489304914708,2.0662594277710733,0.9999999986939748
370,keno,"classic, 6 picks",0.9896651712441186,0.010334828755881388,1.6883954729099382,2.8506792729427737,0.9999997597040013
371,keno,"high, 9 picks",0.9896445596909993,0.01035544030900068,8.032918087407937,64.52777299900559,0.7258894437875434
372,keno,"medium, 7 picks",0.9896178626828782,0.010382137317121837,8.089820225753275,65.44519128500677,0.722504923995738
373,keno,"high, 7 picks",0.9896178626828782,0.010382137317121837,10.347657794411544,107.07402183024598,0.6050808341634473
374,keno,"classic, 4 picks",0.9896049896049897,0.010395010395010396,1.4652842508065531,2.1470579356617217,0.9999999973102535
375,keno,"high, 8 picks",0.9895710514905561,0.010428948509443866,10.49438781304349,110.13217557055573,0.5984602807120155
376,video_poker,Stake Jacks or Better,0.989444779444333,0.010555220555667044,4.396812602297481,19.331961059721948,0.9532879447151082
377,keno,"medium, 5 picks",0.9894408578619105,0.010559142138089507,7.807779899949522,60.96142696605577,0.739208263914283
378,baccarat,banker,0.989420942157528,0.010579057842472012,0.9273720217932128,0.8600188668048311,1.0
379,keno,"medium, 9 picks",0.9894201951090495,0.010579804890950402,2.2935212018828715,5.260239503486251,0.9998567402327928
380,keno,"low, 7 picks",0.9893875955021466,0.010612404497853414,4.693938575603281,22.033059351536558,0.9376071781198314
381,keno,"medium, 8 picks",0.9892363514654536,0.010763648534546368,4.001736099249011,16.01389180803269,0.970973720618949
382,keno,"low, 4 picks",0.989222015537805,0.010777984462194988,4.596639999534335,21.12909928531901,0.9428324320077829
383,plinko,"medium, 10 rows",0.9890625,0.0109375,1.2055363416727636,1.4533178710937502,0.9999999999994802
384,plinko,"medium, 8 rows",0.9890625,0.0109375,1.237893521710874,1.53238037109375,0.9999999999979562
385,keno,"high, 4 picks",0.9890578837947259,0.0109421162052741,12.534058669930522,157.10262674126048,0.5178926617386271
386,keno,"low, 5 picks",0.9890305285042127,0.010969471495787286,6.093575615575995,37.131663782742365,0.8492742949465278
387,keno,"high, 5 picks",0.9888937520516468,0.011106247948353212,10.011996976490394,100.2400834572528,0.6200624599412707
388,keno,"low, 3 picks",0.988663967611336,0.011336032388663968,2.833024777354855,8.026029389106526,0.9978939903259224
389,keno,"low, 2 picks",0.9884615384615385,0.011538461538461539,1.1808819790820377,1.3944822485207102,0.9999999999998153
390,keno,"medium, 6 picks",0.9883466462413831,0.011653353758616916,9.66888208459024,93.48728076571011,0.6361701539408651
391,keno,"medium, 4 picks",0.9878268957216325,0.012173104278367436,5.153718904975219,26.56081855149897,0.909502187550441
392,baccarat,player,0.9876491867108339,0.012350813289166138,0.9511527161226297,0.9046914893874559,1.0
393,keno,"low, 10 picks",0.9875973711730978,0.012402628826902271,0.6803148121577203,0.46282824364119424,1.0
394,keno,"low, 1 picks",0.9875,0.0125,0.49796460717605223,0.24796875000000002,1.0
395,keno,"medium, 1 picks",0.9875,0.0125,1.0175798494467154,1.03546875,1.0
396,keno,"medium, 2 picks",0.9865384615384616,0.013461538461538462,1.331717925514294,1.7734726331360944,0.9999999999170208
